Date,Platform,Earnings_INR,Hours_Worked,Demand_Level,Total_Daily_Earnings
2026-03-01,Swiggy,902.0,11.0,Medium,902.0
2026-03-02,Uber,1235.0,8.0,High,1235.0
2026-03-03,Zomato,1070.0,8.0,High,1070.0
2026-03-04,Swiggy,906.0,10.0,Medium,906.0
2026-03-05,Uber,871.0,10.0,Medium,871.0
2026-03-06,Zomato,820.0,9.0,Medium,820.0
2026-03-07,Swiggy,1414.0,11.0,High,1414.0
2026-03-08,Uber,921.0,11.0,Medium,921.0
2026-03-09,Zomato,1266.0,10.0,High,1266.0
2026-03-10,Swiggy,1014.0,11.0,High,1014.0
2026-03-11,Uber,1130.0,11.0,High,1130.0
2026-03-12,Zomato,1258.0,8.0,High,1258.0
2026-03-13,Swiggy,887.0,10.0,Medium,887.0
2026-03-14,Uber,1172.0,12.0,High,1172.0
2026-03-15,Zomato,899.0,10.0,Medium,899.0
2026-03-16,Swiggy,1463.0,12.0,High,1463.0
2026-03-17,Uber,930.0,8.0,Medium,930.0
2026-03-18,Zomato,1461.0,9.0,High,1461.0
2026-03-19,Swiggy,1108.0,11.0,High,1108.0
2026-03-20,Uber,463.0,5.0,Low,463.0
2026-03-21,Zomato,234.0,5.0,Low,234.0
2026-03-22,Swiggy,405.0,5.0,Low,405.0
2026-03-23,Uber,280.0,5.0,Low,280.0
2026-03-24,Zomato,249.0,7.0,Low,249.0
2026-03-25,Swiggy,201.0,5.0,Low,201.0
2026-03-26,Uber,1260.0,9.0,High,1260.0
2026-03-27,Zomato,1559.0,11.0,High,1559.0
2026-03-28,Swiggy,1413.0,10.0,High,1413.0
2026-03-29,Uber,1121.0,10.0,High,1121.0
2026-03-30,Zomato,1352.0,10.0,High,1352.0
